SPKID,SubjectID
CBK91807,94691
CBK91807,94692
CBK91807,94693
CBK91808,96304
CBK91808,96313
CBK91808,96343
CBK91821,31097
CBK91821,31247
CBK91821,31258
CBK91821,31268
CBK91821,31276
CBK91821,31282
CBK91821,41001
CBK91821,41020
CBK91822,96304
CBK91822,96313
CBK91824,42085
CBK91824,42086
CBK91824,42087
CBK91825,94712
CBK91825,94713
CBK91825,94714
CBK91825,94715
CBK91828,94706
CBK91828,94707
CBK91828,94708
CBK91828,94709
CBK91828,94711
CBK91828,94716
CBK91829,94712
CBK91829,94713
CBK91829,94714
CBK91829,94715
CBK91846,21778
CBK91846,21854
CBK91846,21856
CBK91846,21879
CBK91846,21881
CBK91846,21930
CBK91846,21936
CBK91846,21939
CBK91846,21959
CBK91846,57301
CBK91847,21918
CBK91847,21920
CBK91847,21935
CBK91847,21952
CBK91857,97101
CBK91857,97102
CBK91857,97103
CBK91857,97104
CBK91857,97105
CBK91857,97105
CBK91857,97106
CBK91857,97106
CBK91857,97109
CBK91857,97109
CBK91857,97110
CBK91857,97110
CBK91857,97111
CBK91857,97111
CBK91857,97112
CBK91857,97112
CBK91857,97113
CBK91857,97113
CBK91857,97114
CBK91857,97115
CBK91857,97116
CBK91857,976111
CBK91857,977000
CBK91857,977912
CBK91857,977913
CBK91857,977913
CBK91857,99218
CBK91858,97401
CBK91858,97402
CBK91858,97403
CBK91858,97404
CBK91858,97405
CBK91858,97405
CBK91858,97406
CBK91858,97406
CBK91858,97407
CBK91858,97407
CBK91858,97408
CBK91858,97408
CBK91858,97409
CBK91858,97409
CBK91858,97410
CBK91858,97410
CBK91858,976411
CBK91858,977000
CBK91858,977912
CBK91858,977913
CBK91858,977913
CBK91858,99218
CBK91859,97601
CBK91859,97602
CBK91859,97603
CBK91859,97604
CBK91859,97605
CBK91859,97605
CBK91859,97606
CBK91859,97606
CBK91859,97607
CBK91859,97607
CBK91859,97608
CBK91859,97608
CBK91859,976421
CBK91859,977000
CBK91859,977912
CBK91859,977913
CBK91859,977913
CBK91859,99218
CBK91860,976431
CBK91860,977000
CBK91860,977912
CBK91860,977913
CBK91860,977913
CBK91860,97801
CBK91860,97802
CBK91860,97803
CBK91860,97804
CBK91860,97805
CBK91860,97805
CBK91860,97806
CBK91860,97806
CBK91860,97807
CBK91860,97807
CBK91860,97808
CBK91860,97808
CBK91860,99218
CBK91861,97201
CBK91861,97202
CBK91861,97203
CBK91861,97204
CBK91861,97205
CBK91861,97205
CBK91861,97206
CBK91861,97206
CBK91861,97207
CBK91861,97207
CBK91861,97208
CBK91861,97208
CBK91861,97209
CBK91861,97209
CBK91861,97210
CBK91861,97210
CBK91861,976211
CBK91861,977000
CBK91861,977912
CBK91861,977913
CBK91861,977913
CBK91861,99218
CBK91862,97501
CBK91862,97502
CBK91862,97503
CBK91862,97504
CBK91862,97505
CBK91862,97505
CBK91862,97506
CBK91862,97506
CBK91862,97507
CBK91862,97507
CBK91862,97508
CBK91862,97508
CBK91862,97509
CBK91862,97509
CBK91862,97510
CBK91862,97510
CBK91862,976451
CBK91862,977000
CBK91862,977912
CBK91862,977913
CBK91862,977913
CBK91862,99218
CBK91873,42090
CBK91873,42091
CBK91873,42092
CBK91874,42090
CBK91874,42091
CBK91874,42092
CBK91874,42093
CBK91874,42094
CBK91876,48434
CBK91876,48571
CBK91876,48572
CBK91876,49274
CBK91884,96315
CBK91884,96323
CBK91887,090025
CBK91887,96315
CBK91887,96317
CBK91887,96321
CBK91887,96323
CBK91887,96324
CBK91887,96327
CBK91887,96328
CBK91887,96329
CBK91889,260776
CBK91889,260777
CBK91889,320146
CBK91889,320513
CBK91889,96326
CBK91889,96327
CBK91889,96328
CBK91889,96329
CBK91889,96330
CBK91889,96331
CBK91889,96332
CBK91889,96335
CBK91889,96340
CBK91895,42011
CBK91895,42012
CBK91895,42991
CBK91895,43123
CBK91895,49049
CBK91895,49116
CBK91895,49127
CBK91895,49257
CBK91915,36101
CBK91915,36102
CBK91915,36109
CBK91915,36114
CBK91915,36118
CBK91915,94691
CBK91915,94692
CBK91915,94693
CBK91915,94697
CBK91915,94698
