SPKID,SPKID2
CBK91927,MAJ07134
CBK91929,CBK91928
CBK91929,STM91498
CBK91930,MAJ07120
CBK91930,MAJ07122
CBK91930,MAJ07130
CBK91933,MAJ03538
CBK91933,MAJ03542
CBK91933,MAJ03543
CBK91934,CBK91935
CBK91940,STM91504
CBK91940,STM91505
CBK91940,STM91506
CBK91940,STM91507
CBK91940,STM91508
CBK91940,STM91509
CBK91940,STM91510
CBK91940,STM91511
CBK91940,STM91512
CBK91940,STM91513
CBK91943,CBK91946
CBK91943,CBK91949
CBK91943,STM91523
CBK91944,CBK91947
CBK91944,CBK91950
CBK91944,CBK91951
CBK91944,CBK91952
CBK91945,CBK91947
CBK91945,CBK91951
CBK91945,CBK91953
CBK91945,STM91522
CBK91959,STM91524
CBK91959,STM91525
CBK91959,STM91526
CBK91961,STM91565
CBK91966,CBK91967
CBK91966,SMJ10141
CBK91966,SMJ10142
CBK91966,SMJ10143
CBK91966,SMJ10144
CBK91966,SMJ10145
CBK91966,SMJ10146
CBK91966,SMJ10147
CBK91969,CBK92250
CBK91969,SMJ03047
CBK91969,SMJ03049
CBK91969,SMJ03050
CBK91969,SMJ03052
CBK91969,SMJ03053
CBK91969,SMJ03055
CBK91969,SMJ03056
CBK91969,SMJ03058
CBK91969,SMJ03060
CBK91969,SMJ10157
CBK91969,SMJ10162
CBK91969,SMJ10163
CBK91969,SMJ10171
CBK91969,SMJ10172
CBK91969,SMJ10174
CBK91969,SMJ10175
CBK91969,SMJ10176
CBK91969,SMJ10177
CBK91969,SMJ10195
CBK91969,SMJ10196
CBK91970,SMJ02066
CBK91970,SMJ02067
CBK91970,SMJ03037
CBK91970,SMJ03047
CBK91970,SMJ03048
CBK91970,SMJ03049
CBK91970,SMJ03050
CBK91970,SMJ03052
CBK91970,SMJ03053
CBK91970,SMJ03056
CBK91970,SMJ03057
CBK91970,SMJ03058
CBK91970,SMJ03060
CBK91970,SMJ03063
CBK91970,SMJ03065
CBK91970,SMJ03066
CBK91970,SMJ03432
CBK91970,SMJ03433
CBK91970,SMJ10088
CBK91970,SMJ10089
CBK91970,SMJ10090
CBK91970,SMJ10131
CBK91970,SMJ10156
CBK91970,SMJ10157
CBK91970,SMJ10158
CBK91970,SMJ10165
CBK91970,SMJ10166
CBK91970,SMJ10167
CBK91970,SMJ10171
CBK91970,SMJ10172
CBK91970,SMJ10177
CBK91970,SMJ10196
CBK91972,MAJ09447
CBK91972,MAJ09448
CBK91972,MAJ09449
CBK91972,MAJ09450
CBK91972,MAJ09451
CBK91972,MAJ09452
CBK91983,STM91545
CBK91983,STM91546
CBK91983,STM91547
CBK91983,STM91548
CBK91984,CBK91985
CBK91984,MAJ10055
CBK91984,MAJ10056
CBK91993,MAJ08992
CBK91993,STM91553
CBK91993,STM91556
CBK91993,STM91770
CBK91995,STM91559
CBK91995,STM91560
CBK91999,CBK92000
CBK91999,CBK92001
CBK92006,MAJ06253
CBK92006,SMJ10149
CBK92006,STM91562
CBK92010,CBK90171
CBK92010,CBK91014
CBK92010,MAJ08975
CBK92010,MAJ08976
